poet,gender,
Glenn Morazzini,M,
Aileen Lucia Fisher,F,
Emily Pauline Johnson,F,
Nicky Beer,F,
Linda Gregg,F,
Michael Klein,M,
John Reibetanz,M,
Emily Jungmin Yoon,F,
Wilfred Owen,M,
Hieu Minh Nguyen,M,
Maudelle Driskell,F,
Michael McFee,M,
Emily Dickinson,F,
Martha Collins,F,
William Jay Smith,M,
Willie Perdomo,M,
Bob Dahlquist,M,
James Masao Mitsui,M,
Nancy Willard,F,
Jena Osman,F,
Stevie Smith,M,
Benjamin Franklin,M,
Joshua Beckman,M,
Vona Groarke,F,
Katy Didden,F,
Muriel Rukeyser,F,
Charles Bukowski,M,
Bernadette Hall,F,
Jean L. Connor,M,
Lisa Jarnot,F,
Wendy Rose,F,
J. P. White,M,
Lucy Ives,F,
Stephen Yenser,M,
William Waring Cuney,M,
Anthony Carelli,M,
Kurt Brown,M,
J. T. Barbarese,M,
Timothy Thomas Fortune,M,
Jennifer Bartlett,F,
William Carlos Williams,M,
Maggie Dietz,F,
Babette Deutsch,F,
Anne Spencer,F,
Bobbi Katz,M,
Talvikki Ansel,F,
Emma Lazarus,F,
Robert Duncan,M,
Frank Steele,M,
Ernst Jandl,M,
Valerie Wetlaufer,F,
Patrick Cotter,M,
Neil Fischer,M,
Dana Bisignani,F,
Eleanor Percy Lee,F,
Denise Riley,F,
Victor Hernández Cruz,M,
May Wedderburn Cannan,F,
Dorianne Laux,F,
Norman Williams,M,
Maram Al-Massri,F,
Ernest Hilbert,M,
Piotr Sommer,M,
Philip Levine,M,
Camonghne Felix,F,
Sharon Dolin,F,
Noah Buchholz,M,
Charif Shanahan,M,
John Greenleaf Whittier,M,
Marcus Wicker,M,
Richard Howard,M,
Katherine Larson,F,
Thomas Gray,M,
Sarah Kirsch,F,
Stanley Kunitz,M,
Cecil Touchon,M,
Caoilinn Hughes,F,
Margaret Kaufman,F,
January Gill O'Neil,F,
Shara McCallum,F,
Hadrian,M,
Adam Zagajewski,M,
Leslie Williams,F,
Jan Heller Levi,M,
Randall Jarrell,M,
Blas Manuel De Luna,M,
M.L. Smoker,F,
Maxine Scates,F,
James L. Dickey,M,
Neal Bowers,M,
TC Tolbert,T,
Robert Fitzgerald,M,
Håkan Sandell,M,
Luther Hughes,M,
René Magritte,M,
Philip Nikolayev,M,
Reina María Rodríguez,F,
Steven Heighton,M,
Rachel Blau DuPlessis,F,
Sabrina Orah Mark,F,
Tara Bergin,F,
Robert Louis Stevenson,M,
Felecia Caton Garcia,F,
Hartley Coleridge,M,
Frank O'Hara,M,
Angela C. Trudell Vasquez,F,
Brenda Coultas,F,
Philip Raisor,M,
Ed Bok Lee,M,
