poet,gender,
Edmund Blunden,M,
Jana Prikryl,F,
Todd Davis,M,
Jacob Shores-Argüello,M,
Deborah A. Miranda,F,
Mark McMorris,M,
Labid,,
Marge Piercy,F,
Jason Schneiderman,M,
Jessy Randall,,
Terese Svoboda,F,
Nick Arnold,,
Jon Pineda,M,
Christine Gosnay,F,
Tyehimba Jess,,
Carolyn M. Rodgers,F,
Uvavnuk,,
Robert Pottle,M,
Esther Lee,F,
Patricia Traxler,F,
Sarah A. Chavez,F,
Israel Zangwill,M,
Jack Kerouac,M,
Marianne Boruch,F,
Robert VanderMolen,M,
Sally Wen Mao,F,
Joel Craig,M,
Susanna Blamire,F,
Gowann,,
Matthea Harvey,,
Nate Marshall,M,
Jane Kenyon,F,
Chase Berggrun,,
Michael Symmons Roberts,M,
Ari Banias,,
Cecilia Woloch,F,
Dante Gabriel Rossetti,M,
Jessie Pope,,
Thomas Randolph,M,
Zozan Hawez,,
Cynthia Zarin,F,
Fanny Howe,,
Tao Lin,,
Lily A. Long,F,
Robin Richardson,M,
Connie Deanovich,,
Hayan Charara,,
Taylor Mali,M,
Alissa Valles,F,
Warren Hastings,M,
Saadi Youssef,,
Richard M. Berlin,M,
Mary Szybist,F,
Théophile Gautier,,
Catherine Barnett,F,
James K. Zimmerman,M,
Jennifer Moxley,F,
Claudia Emerson,F,
Rose Fyleman,F,
José Angel Araguz,M,
K. S. Ernst,,
Lady Mary Wortley Montagu,F,
Saskia Hamilton,,
John Trudell,M,
Lucille Clifton,F,
Kelly Madigan,F,
Todd Colby,M,
Ramón López Velarde,M,
Helen Hunt Jackson,F,
William Matthews,M,
Jeanie Greensfelder,F,
Gerrit Lansing,,
Víctor Rodríguez Núñez,M,
Daniel Defoe,M,
Ina Coolbrith,,
Eiléan Ní Chuilleanáin,,
Lenelle Moïse,,
Robert Hershon,M,
Nathan Spoon,M,
Karenne Wood,F,
Ralph Fletcher,M,
Queen Lydia Kamakaeha Lili’uokalani,F,
Jennifer Wong,F,
Najwan Darwish,,
Yehuda Amichai,,
Belle Randall,F,
Aracelis Girmay,,
Albert Wendt,M,
Francis Ponge,M,
Robert Francis,M,
Stephen Sexton,M,
Mona Van Duyn,,
Rodney Koeneke,,
Sarah Morgan Bryan Piatt,F,
Mona Arshi,F,
Isabel Rogers,F,
Ada Limón,F,
Ginger Ko,,
Annie Finch,F,
Thomas Merton,M,
Christian Bök,M,
Femi Osofisan,,
Aziza Barnes,,
Frederick Seidel,,
Robbie Coburn,,
Quan Barry,,
Kate Northrop,F,
Linda Hogan,F,
Leah Umansky,,
Richard Hugo,M,
Jonathan Greene,M,
Hugh Seidman,M,
Neil Carpathios,M,
Barbara Guest,F,
Faylita Hicks,,
Robert Southey,M,
Honor Moore,,
Heather McHugh,F,
Raffaello Baldini,M,
Erin Belieu,F,
Andrew Joron,M,
Eric Gamalinda,M,
Robert Nichols,M,
Jeramy Dodds,M,
Paul Perry,M,
W. D. Snodgrass,M,
Delmore Schwartz,,
Daniel Tiffany,M,
Stephen Behrendt,M,
Mantinadologoi,,
Kevin Prufer,M,
Amanda Joy,F,
Nick Twemlow,M,
Rex Wilder,,
Ruby Robinson,,
Francisco Aragón,M,
Diane di Prima,F,
William Langland,M,
Joshua Bennett,M,
Dan Taulapapa McMullin,,
Michelle Y. Burke,F,
Tato Laviera,,
Ron Padgett,M,
Paul Hoover,M,
Louise Imogen Guiney,F,
Joshua Mehigan,M,
Joshua Jennifer Espinoza,M,
David Wojahn,M,
Bruce Guernsey,M,
James Weldon Johnson,M,
William E. Stafford,M,
Daniel Bailey,M,
Kenneth Carroll,M,
Jeff Derksen,M,
Alan Felsenthal,M,
April Halprin Wayland,F,
A.B. Jackson,,
Ron Silliman,M,
Paul Batchelor,M,
Maggie Smith,F,
Countess of Winchilsea Anne Finch,F,
Joseph Spece,M,
Andrea Hollander,,
Rane Arroyo,,
Curzio Malaparte,,
Karma Larsen,,
Víctor Terán,M,
Stephen O’connor,M,
Lee Ann Roripaugh,,
Fred Marchant,M,
Danusha Laméris,,
Anya Silver,,
Tod Marshall,,
Kris Hemensley,,
Emily Fragos,F,
Ann Snodgrass,F,
Joanne Dominique Dwyer,F,
Coral Bracho,F,
Gregory Orr,M,
Thomas P. Lynch,M,
Edward Thomas,M,
Sam Riviere,M,
Lisa Fishman,F,
Sandra Simpson,F,
Raymond McDaniel,M,
Hadewijch II,,
Henry Gould,M,
Dorothea Lasky,F,
Johnny Damm,M,
Robert Pack,M,
Amy Gerstler,F,
Nancy Miller Gomez,F,
Jeff Latosik,M,
Louisa S. Bevington,F,
Mira Rosenthal,F,
Colleen J. McElroy,,
Richard Katrovas,M,
Robin Ekiss,,
Jill Osier,,
Kenneth Slessor,M,
Anne Winters,F,
John Hennessy,M,
Brod Bagert,,
Barry Goldensohn,M,
CM Burroughs,,
Sophia Dahlin,F,
Michelle Mitchell-Foust,F,
Emmett Tenorio Melendez,M,
Lawrence Joseph,,
Brandy Nālani McDougall,M,
Gisela Kraft,F,
Eugene Dubnov,F,
Mary Moore Easter,F,
Friedrich Hölderlin,M,
Sjohnna McCray,,
Paul Hostovsky,M,
Kimberly Blaeser,F,
Emily Liebowitz,F,
Gwendolyn Brooks,,
Fran Lock,,
Peter Ciccariello,M,
Naomi Shihab Nye,F,
Sharmila Voorakkara,F,
Patty Seyburn,F,
Alyssa Moore,F,
Chris Martin,,
Jacques Réda,,
Paul Muldoon,M,
Calvin Thomas Jr.,M,
Mary Oliver,F,
BJ Ward,,
Sara Holbrook,F,
Barton Sutter,,
Jayme Ringleb,,
Joelle Biele,F,
Mary Kinzie,F,
Helen Hajnoczky,F,
Michael S. Harper,M,
Franny Choi,,
E. E. Cummings,,
Lydia Maria Child,F,
James Reidel,M,
Mary M. Brown,F,
Barbara Jane Reyes,F,
Edna St. Vincent Millay,F,
Waldo Williams,M,
Dorothea Grossman,F,
Molly Brodak,F,
Wallace Stevens,M,
Mohja Kahf,,
Sandy Florian,,
Daniel Scott Tysdal,M,
Gabriel & Marcel Piqueray,M,
Dante Di Stefano,M,
William Butler Yeats,M,
Mónica de la Torre,F,
Thomas Hood,M,
Deborah Digges,F,
John Poch,M,
Martha Silano,F,
Lucy Tunstall,F,
Brian Swann,M,
Connie Voisine,,
Kimiko Hahn,,
Thomas Bastard,M,
Oliver Baez Bendorf,M,
Joshua Marie Wilkinson,M,
Herbert Morris,M,
Kerrin P. Sharpe,,
Quincy Troupe,,
Marjorie Maddox,F,
Henri Cole,M,
Pat Schneider,F,
Jay Besemer,,
Mahogany L. Browne,,
Anne Bradstreet,F,
Edil Hassan,,
Joyce Kilmer,F,
Gabriel Ojeda-Sague,M,
Pat Mora,F,
Peter Bethanis,M,
Anne Porter,F,
Chitra Banerjee Divakaruni,,
William Cole,M,
John Talbot,M,
Mary Weston Fordham,F,
Kay Mullen,,
Günter Eich,M,
Jennifer Maiden,F,
John Straley,M,
Judith Kroll,F,
Deborah Paredez,F,
Anne Stevenson,F,
Teresa Mei Chuc,F,
Laura Newbern,F,
Robin Robertson,,
Kathleen Driskell,F,
Lucretius,,
Stephen Kuusisto,M,
Yvonne Zipter,F,
Sudeep Sen,,
Shin Yu Pai,,
Rachel Jamison Webster,F,
Kathi Wolfe,F,
Denise Low,F,
Rynn Williams,,
Witter Bynner,,
John Hollander,M,
Albert Goldbarth,M,
Victoria Kennefick,F,
Elizabeth Campbell,F,
C. P. Cavafy,,
Jason Guriel,M,
Catherine Imbriglio,F,
Sheila Black,F,
Xochiquetzal Candelaria,,
Ibn Al-`Arabi,,
Dabney Stuart,,
Oliver de la Paz,M,
Arthur O'Shaughnessy,M,
Stefi Weisburd,F,
Patrick Rosal,F,
Mark Smith-Soto,M,
Maureen Ash,,
Shail D. Patel,,
Charles Bernstein,M,
Cathy Linh Che,F,
Laura Da',F,
George Seferis,M,
Susan Kolodny,F,
Susan Kinsolving,F,
Barbara Schmitz,F,
Alfred Starr Hamilton,M,
Jen Bryant,,
Lucia Perillo,F,
Pablo Neruda,M,
Paula Cunningham,F,
J. Michael Martinez,,
Kenyatta Rogers,,
Landis Everson,,
Ailbhe Ní Ghearbhuigh,,
Greg Sellers,M,
Christine Stewart-Nuñez,F,
Robert P. Baird,M,
Jean Valentine,,
Hai-Dang Phan,,
Patricia Lockwood,F,
Kevin Goodan,M,
Joshua McCarter Simpson,M,
Ali Liebegott,,
Nicole Pekarske,F,
Lady Mary Wroth,F,
Brooklyn Copeland,,
Hannah Lowe,F,
Tommy Pico,,
Meredith Holmes,,
Elsa von Freytag-Loringhoven,F,
Robert Morgan,M,
Stephen Sturgeon,M,
Gottfried Benn,M,
Carole Bernstein,F,
Toby Altman,M,
Laurie Ann Guerrero,F,
Frank Bidart,M,
Lucy Wainger,F,
Alice Notley,F,
Florence Ripley Mastin,,
Michele Leggott,F,
Karl O'Hanlon,M,
Chris Glomski,,
Edwin Torres,,
David Gewanter,M,
James Thomas Stevens,M,
Nick Lantz,,
Dayna Patterson,F,
Cathy Song,F,
Greg Delanty,M,
Frances Jane Crosby Van Alstyne,,
Joy Katz,F,
Ken Chen,M,
Sarah Helen Whitman,F,
Yanyi,,
Les Murray,,
Bill Dodds,M,
Jorge Luis Borges,M,
Thomas Carew,M,
Josephine Delphine Henderson Heard,F,
Adrian Matejka,,
Adrien Stoutenburg,,
Roy Jacobstein,,
Rebecca Lindenberg,F,
Alan Pelaez Lopez,M,
Jeff Worley,M,
Laura Marie Marciano,F,
Darcie Dennigan,,
Joan Horton,,
Darren Sardelli,,
Robert Gernhardt,M,
Ishion Hutchinson,,
Haki R. Madhubuti,,
Rebecca Hazelton,F,
Diakwain,,
Martha Ronk,F,
Emily Hunt,F,
Jill Magi,,
Derek Sheffield,M,
Nathalie Handal,F,
Frank Sherlock,M,
Lucia Cherciu,F,
Richard Siken,M,
Karen Solie,F,
An Li,,
Joy Ladin,F,
Richard Kenney,M,
Sarah Louisa Forten,F,
Alice Miller,F,
Brook Emery,,
Ella Higginson,F,
Jordan Davis,,
Matthew Shenoda,M,
Ravi Shankar,,
Daniela Danz,F,
Eleanor Wilner,F,
Sophie Cabot Black,F,
Tony Hoagland,M,
Brian Barker,M,
Theodore Weiss,,
Amanda Nadelberg,F,
Patrizia Valduga,F,
Schuyler Van Rensselaer,,
Saaro Umar,,
Joseph Cephas Holly,M,
Luke Davies,M,
Caroline Caddy,F,
Steven Cordova,M,
Ali Cobby Eckermann,,
Nestor Gomez,M,
Rudyard Kipling,,
Aharon Shabtai,,
Alexandria Peary,F,
Don Welch,M,
Liz Rosenberg,F,
Cynthia Hogue,F,
Steven Cramer,M,
Hanif Abdurraqib,,
Kathryn Stripling Byer,F,
Kate Camp,F,
John Greening,M,
Jim Carroll,M,
Rosmarie Waldrop,F,
Joseph Bruchac,M,
Eleanor Farjeon,F,
Dante Alighieri,M,
Ed Ochester,M,
Heidy Steidlmayer,F,
John Mason Neale,M,
Oskar Pastior,M,
Linda Parsons Marion,F,
Stephen C. Foster,M,
Jana Harris,F,
Roger Mitchell,M,
Jill Alexander Essbaum,,
Leslie McGrath,F,
Melvin B. Tolson,,
Laura Moriarty,F,
Mary Ruefle,F,
Jean Follain,,
Shailja Patel,,
Natalie Rose Richardson,F,
Judith Harris,F,
Sally Van Doren,F,
Edward Lear,M,
Neal Levin,,
Abraham Lincoln,M,
Kristen Renee Miller,F,
Tony Lopez,,
sam sax,,
Dylan Horrocks,M,
Juan Felipe Herrera,M,
Carolina Ebeid,F,
Maureen N. McLane,M,
Maceo J. Whitaker,,
Albery Allson Whitman,,
Brian Turner,M,
Danniel Schoonebeek,M,
Jacob Polley,M,
Noah Warren,M,
Carol Frost,F,
Maria Melendez Kelson,F,
Kristine O'Connell George,F,
Igor Klikovac,M,
Vievee Francis,,
Robert Lax,M,
Dan Brown,,
Sir Walter Ralegh,,
Patrick Phillips,,
Peg Boyers,F,
Momina Mela,,
Momtaza Mehri,,
Lynn Pedersen,,
János Pilinszky,,
Richard Blanco,M,
Brian Teare,M,
Rebecca Wolff,F,
Jennifer Jean,F,
Nance Van Winckel,,
Jacob Saenz,M,
Susan Griffin,F,
Yolanda Wisher,F,
Jackson Wheeler,M,
Frederick Goddard Tuckerman,M,
Javier Zamora,M,
Countee Cullen,,
Seth Abramson,M,
Toi Derricotte,,
Tyler Ford,M,
Jacqueline Osherow,F,
David St. John,M,
Linda Pastan,F,
Peg Duthie,F,
Jane Cooper,F,
Megan Snyder-Camp,F,
Lilace Mellin Guignard,,
Christopher Chambers,M,
Ginger Murchison,,
Frances Leviston,M,
Katy Bohinc,F,
David Lehman,M,
Sir Arthur Conan Doyle,M,
James Kimbrell,M,
François Villon,M,
James Lasdun,M,
Lily Zhou,F,
Chris Forhan,M,
Todd Swift,M,
Ghassan Zaqtan,,
E. Tracy Grinnell,,
Julian Grenfell,,
Richard O. Moore,M,
Jocelyn Saidenberg,M,
Yuki Tanaka,,
Chelsea Rathburn,F,
Denise Levertov,F,
Catherine Cockburn,F,
A. R. Ammons,,
Emmy Pérez,F,
Cate Marvin,F,
Eduardo C. Corral,M,
Lia Purpura,,
Robert West,M,
Mary Rose O'Reilley,F,
Richard Barnfield,M,
John Rybicki,M,
Roberto Tejada,M,
X J Kennedy,,
Brenda Iijima,F,
Brandon Som,M,
Cynthia Huntington,F,
Stephen Stepanchev,M,
Frank Lima,M,
Dafydd ap Gwilym,,
Charles Ghigna,M,
Helen Leigh,F,
Katy Giebenhain,,
Fleda Brown,,
Jack Stewart,M,
Shirley Kaufman,F,
Elinor Maxwell,,
William Trowbridge,M,
Colette Bryce,,
Francis Ledwidge,M,
Steven Huff,M,
"Henry VIII, King of England",M,
Peter Everwine,M,
Allen Edwin Butt,,
Kabir,,
Jeffrey Skinner,M,
Grace Schulman,F,
Rachel Sherwood,F,
Duy Doan,,
Safiya Sinclair,,
Liz Countryman,F,
Kathryn Starbuck,F,
David Schloss,M,
Sy Hoahwah,,
Nancy Simpson,F,
Kathy Engel,F,
Megan Denton Ray,F,
Laurel Blossom,F,
Joan Larkin,,
Molly Fisk,F,
Ryler Dustin,,
George Sterling,M,
Alberto Ríos,M,
James Thomson (Bysshe Vanolis),M,
Rafael Campo,M,
Brian Culhane,M,
Ann Plato,F,
Ben Ladouceur,M,
Sun Yung Shin,,
Jones Very,M,
Allison Titus,,
Joseph Brodsky,M,
Mark Turcotte,,
Mark Irwin,M,
Lynn Powell,,
Robert Adamson,M,
Eamon Grennan,,
Andrei Guruianu,M,
Carolyn Wells,F,
Gjertrud Schnackenberg,,
Mark Tredinnick,M,
Lucie Brock-Broido,F,
Ted Kooser,M,
Matilda Bethem,F,
Michael Prior,M,
Solomon Ibn Gabirol,,
Eavan Boland,,
John Cage,M,
Nick Flynn,,
Chinua Achebe,,
Jacques Darras,,
Brian Henry,M,
Li-Young Lee,,
Garrett Hongo,M,
Peter Cooley,M,
Ailbhe Darcy,,
Bin Ramke,,
Henry Carlile,M,
Laurence Binyon,,
Ken Mikolowski,,
Sarah Browning,F,
Matthew Vetter,M,
Leontia Flynn,,
George Garrett,M,
Lawrence Ferlinghetti,M,
Rigoberto González,M,
Clifton Gachagua,M,
Linh Dinh,,
Anna Akhmatova,F,
Clare Jones,F,
Amy Fleury,F,
Penelope Shuttle,F,
Jack Gilbert,M,
Mary Avidano,F,
Malachi Black,,
Mary Ann Hoberman,F,
Kate Gale,F,
Gary Barwin,M,
Sherman Alexie,,
Philip Whalen,M,
Robert Bringhurst,M,
Sallie Wolf,F,
Sarah Lindsay,F,
Louise Glück,F,
Alan R. Shapiro,,
Robert Winner,M,
Alan Ramón Clinton,M,
Lisa Ampleman,F,
Ron Koertge,M,
Ovid,,
Catherine Wagner,F,
Ambrose Bierce,,
Marilyn Dumont,F,
Susan Rolston,F,
Kim Dower,M,
Ava Leavell Haymon,,
Kenneth Goldsmith,M,
Ha Jin,,
Raina J. León,,
Catherine Savage Brosman,F,
Samuel Taylor Coleridge,M,
Franklin Pierce Adams,,
Rory Waterman,,
James K. Baxter,M,
Michael Sharkey,M,
Larry Bradley,,
Taha Muhammad Ali,,
R. S. Gwynn,,
Kevin McFadden,M,
Catherine Bowman,F,
Robert Thomas,M,
David Black,M,
Danielle Chapman,F,
Amy King,F,
Edgar Albert Guest,M,
Maxine Chernoff,,
Ray Gonzalez,M,
John McAuliffe,M,
Idra Novey,,
Juan Delgado,M,
Sharon Chmielarz,F,
April Lindner,F,
Charlotte Anna Perkins Gilman,F,
Charles Dickens,M,
Kathleen M. McCann,F,
Michelle Menting,F,
A. B. Spellman,,
Stephen Dobyns,M,
Duane Niatum,,
Betsy Franco,F,
Carrie Fountain,F,
Freya Manfred,F,
Melissa Studdard,F,
Brad Leithauser,M,
Paul Carroll,M,
Gaius Petronius,,
Kristin Naca,F,
Meghan O'Rourke,F,
Sharon Olds,F,
Richard Lovelace,M,
Edgar Allan Poe,M,
Jonathan Holden,M,
George Peele,M,
Julia Kolchinsky Dasbach,F,
David Roderick,M,
Paul Laurence Dunbar,M,
Jupiter Hammon,,
Wendy Xu,F,
Anna Seward,F,
Max Ritvo,,
Wesley McNair,M,
Christina Rossetti,F,
Herman Melville,M,
Mary Meriam,F,
Richard Robbins,M,
Tom Wayman,M,
David Yezzi,M,
Nate Klug,M,
Gary Soto,M,
Krista Franklin,F,
Jimmy Santiago Baca,M,
David Harsent,M,
Bruce Snider,M,
Thomas Moore,M,
Hannah F. Gould,F,
Joanne Kyger,F,
Conor O'Callaghan,M,
Matthew Brenneman,M,
Lyn Hejinian,,
Zeina Hashem Beck,F,
Julien Poirier,,
Paige Lewis,,
Bruce Weigl,M,
Ntozake Shange,,
Frances Ellen Watkins Harper,,
Safia Elhillo,F,
Tom Pickard,M,
John Lydgate,M,
Dante Micheaux,M,
Richard Emil Braun,M,
Lucille Lang Day,F,
Jeffrey Greene,M,
Jane Wong,F,
Cedar Sigo,,
Charles Harper Webb,M,
Marie Ponsot,F,
Mary Barber,F,
Mark Kraushaar,M,
David Hernandez,M,
Marilyn Nelson,F,
Joanna Baillie,F,
Judith Goldman,F,
Leslie Harrison,F,
Koon Woon,,
Qwo-Li Driskill,,
Patti Smith,F,
Ishmael Angaluuk Hope,,
Zachary Schomburg,M,
David Lau,M,
Anna Jackson,F,
Jeffrey Yang,M,
Billy Collins,M,
Philip Jenks,M,
Angélica Freitas,F,
Chip Livingston,,
Kathleen Graber,F,
Graham Mort,,
Joe Mills,M,
Elizabeth Bentley,F,
Margo Tamez,,
David Sullivan,M,
Sheena Raza Faisal,F,
Anthony Opal,M,
Kate Potts,F,
Catherine Wing,F,
Donika Kelly,,
Adam Clay,M,
